categoria_MLA,categoria_name,seller,state,city,grupo,cancellations_rate,claims_rate,delayed_handling_time_rate,avg_ticket
MLA5725,Accesorios para Vehículos,40727839,Buenos Aires,Villa Lynch,relevancia alta-perfil medio,0.0046,0.0081,0.0174,4446.580859375
MLA5725,Accesorios para Vehículos,188316739,Capital Federal,Boedo,relevancia media-perfil medio,0.0028,0.012,0.0111,1816.785718498712
MLA5725,Accesorios para Vehículos,173563910,Buenos Aires,Ciudadela,relevancia media-perfil medio,0.0019,0.0079,0.0133,3321.973340054441
MLA5725,Accesorios para Vehículos,435859328,Santa Fe,Santa Fe,relevancia media-perfil medio,0.0,0.0026,0.003,1075.545
MLA5725,Accesorios para Vehículos,415090258,Capital Federal,Villa Crespo,relevancia media-perfil medio,0.0012,0.005,0.0079,1730.0837988826815
MLA5725,Accesorios para Vehículos,671347056,Buenos Aires,Villa Celina,relevancia alta-perfil alto,0.0,0.0049,0.0,5944.599640052356
MLA5725,Accesorios para Vehículos,24613228,Capital Federal,Paternal,relevancia media-perfil medio,0.0012,0.0048,0.0033,1778.0030769230768
MLA5725,Accesorios para Vehículos,9048891,Capital Federal,Villa Crespo,relevancia media-perfil medio,0.0,0.0088,0.0054,2187.98
MLA5725,Accesorios para Vehículos,162737620,Capital Federal,Villa Crespo,relevancia media-perfil medio,0.0079,0.0087,0.0067,3002.266208251473
MLA5725,Accesorios para Vehículos,184198511,Buenos Aires,Tristán Suarez,relevancia alta-perfil medio,0.001,0.0109,0.0754,8306.199029126214
MLA5725,Accesorios para Vehículos,122876289,Capital Federal,Caballito,relevancia alta-perfil alto,0.0,0.0,0.0226,17699.0
MLA5725,Accesorios para Vehículos,176605767,Buenos Aires,Loma Hermosa,relevancia alta-perfil medio,0.001,0.0099,0.0022,10030.479242534597
MLA5725,Accesorios para Vehículos,220276025,Buenos Aires,Ramos Mejía,relevancia alta-perfil medio,0.0024,0.0102,0.0112,4932.06
MLA5725,Accesorios para Vehículos,116026826,Buenos Aires,Lomas de Zamora,relevancia alta-perfil medio,0.0045,0.0029,0.0404,21396.33427296218
MLA5725,Accesorios para Vehículos,9696552,Capital Federal,Floresta,relevancia alta-perfil medio,0.0048,0.011,0.003,3850.3334051491975
MLA5725,Accesorios para Vehículos,46370424,Buenos Aires,Morón,relevancia alta-perfil medio,0.0026,0.0026,0.0064,4219.583333333333
MLA5725,Accesorios para Vehículos,13647702,Capital Federal,Boedo,relevancia media-perfil medio,0.0012,0.0109,0.0012,2088.604345582041
MLA5725,Accesorios para Vehículos,220004426,Buenos Aires,Villa Maipú,relevancia alta-perfil alto,0.0,0.0,0.0606,28892.0
MLA5725,Accesorios para Vehículos,23743461,Buenos Aires,Lanus Este,relevancia alta-perfil alto,0.0,0.0,0.1212,8999.0
MLA5725,Accesorios para Vehículos,129081707,Buenos Aires,Rafael Calzada,relevancia media-perfil medio,0.0,0.0103,0.0018,1839.1153846153843
MLA5725,Accesorios para Vehículos,139673546,Capital Federal,Belgrano,relevancia alta-perfil medio,0.0037,0.0131,0.0039,6464.201778529309
MLA5725,Accesorios para Vehículos,227689438,Buenos Aires,Caseros,relevancia alta-perfil medio,0.0,0.0042,0.0155,7359.958333333333
MLA5725,Accesorios para Vehículos,179026576,Córdoba,Córdoba,relevancia alta-perfil medio,0.0035,0.0083,0.0027,17442.16162790698
MLA5725,Accesorios para Vehículos,170719433,Capital Federal,CABA,relevancia alta-perfil medio,0.0,0.0068,0.002,5400.0
MLA5725,Accesorios para Vehículos,126722581,Santa Fe,Rosario,relevancia media-perfil medio,0.0,0.0035,0.0031,1089.993333333333
MLA5725,Accesorios para Vehículos,179035500,Capital Federal,Monserrat,relevancia alta-perfil medio,0.0138,0.0119,0.0484,13095.008984615386
MLA5725,Accesorios para Vehículos,27742434,Buenos Aires,Lanús,relevancia alta-perfil medio,0.0141,0.0123,0.0635,11030.74074074074
MLA5725,Accesorios para Vehículos,78005094,Capital Federal,Villa Crespo,relevancia alta-perfil medio,0.0056,0.0128,0.0166,8382.417887822132
MLA5725,Accesorios para Vehículos,309416503,Buenos Aires,Florencio Varela,relevancia alta-perfil medio,0.0081,0.0084,0.0334,5940.0
MLA5725,Accesorios para Vehículos,36552322,Capital Federal,Caballito,relevancia alta-perfil medio,0.0083,0.014,0.016,4732.4
MLA5725,Accesorios para Vehículos,142436011,Buenos Aires,BOULOGNE,relevancia media-perfil medio,0.0047,0.0058,0.0296,3502.302727272727
MLA5725,Accesorios para Vehículos,134258528,Córdoba,Córdoba,relevancia alta-perfil medio,0.0,0.0076,0.0102,8205.095238095239
MLA5725,Accesorios para Vehículos,177515516,Capital Federal,Parque Patricios,relevancia media-perfil alto,0.0,0.0,0.0264,1700.0
MLA5725,Accesorios para Vehículos,53347156,Buenos Aires,Lanus Oeste,relevancia alta-perfil medio,0.0045,0.0063,0.0513,9954.991122384274
MLA5725,Accesorios para Vehículos,56787846,Capital Federal,Flores,relevancia alta-perfil medio,0.0118,0.0146,0.026,6913.538210526315
MLA5725,Accesorios para Vehículos,679055037,Buenos Aires,Villa Maipú,relevancia media-perfil medio,0.0,0.0111,0.0071,160.0
MLA5725,Accesorios para Vehículos,674162330,Capital Federal,Balvanera,relevancia media-perfil medio,0.0,0.0053,0.0153,1811.8181818181815
MLA5725,Accesorios para Vehículos,192261791,Capital Federal,Villa Crespo,relevancia media-perfil medio,0.01,0.0114,0.0049,2947.2884116993705
MLA5725,Accesorios para Vehículos,218165061,Capital Federal,Floresta,relevancia alta-perfil medio,0.004,0.008,0.004,16748.547955390335
MLA5725,Accesorios para Vehículos,3696089,Capital Federal,Floresta,relevancia media-perfil medio,0.0028,0.0125,0.0153,1630.1347987231777
MLA5725,Accesorios para Vehículos,349875216,Santa Fe,Rosario,relevancia media-perfil medio,0.0033,0.0033,0.001,3494.0
MLA5725,Accesorios para Vehículos,104190412,Buenos Aires,pacheco,relevancia media-perfil medio,0.0074,0.0168,0.0444,3100.0
MLA5725,Accesorios para Vehículos,92995006,Buenos Aires,Martínez,relevancia media-perfil medio,0.0038,0.0086,0.0665,1210.31
MLA5725,Accesorios para Vehículos,131397679,Capital Federal,Monte Castro,relevancia media-perfil medio,0.0,0.0078,0.0002,2311.962962962963
MLA5725,Accesorios para Vehículos,83417473,Capital Federal,Villa Urquiza,relevancia alta-perfil medio,0.0039,0.0051,0.0239,4197.52197302979
MLA5725,Accesorios para Vehículos,13262009,Capital Federal,San Cristóbal,relevancia media-perfil medio,0.0019,0.0056,0.008,2209.5487922705315
MLA5725,Accesorios para Vehículos,725736660,Capital Federal,Floresta,relevancia alta-perfil medio,0.0,0.0053,0.0018,4779.468
MLA5725,Accesorios para Vehículos,178665702,Buenos Aires,Ituzaingó,relevancia alta-perfil medio,0.0048,0.0055,0.0028,11811.53846153846
MLA5725,Accesorios para Vehículos,90394911,Buenos Aires,Villa Martelli,relevancia alta-perfil medio,0.0086,0.0104,0.0153,4949.333333333333
MLA5725,Accesorios para Vehículos,51662042,Buenos Aires,Munro,relevancia media-perfil medio,0.009,0.0056,0.0377,585.0
MLA5725,Accesorios para Vehículos,57349305,Capital Federal,Flores,relevancia media-perfil medio,0.0029,0.0044,0.0067,1526.7047970479705
MLA5725,Accesorios para Vehículos,256189964,Buenos Aires,Monte Chingolo,relevancia alta-perfil medio,0.0005,0.0135,0.0573,9991.18698198696
MLA5725,Accesorios para Vehículos,713087759,Buenos Aires,Monte Grande,relevancia alta-perfil medio,0.0033,0.0092,0.0026,9609.555555555557
MLA5725,Accesorios para Vehículos,76303481,Buenos Aires,Lomas de Zamora,relevancia media-perfil alto,0.0,0.0,0.0068,1996.6666666666667
MLA5725,Accesorios para Vehículos,292328898,Buenos Aires,Libertad,relevancia media-perfil medio,0.0131,0.0107,0.1313,3159.3636363636365
MLA5725,Accesorios para Vehículos,73670814,Buenos Aires,Lomas Del Mirador,relevancia media-perfil medio,0.006,0.0073,0.0012,726.551724137931
MLA5725,Accesorios para Vehículos,231803806,Buenos Aires,Merlo,relevancia alta-perfil medio,0.004,0.0122,0.0252,6590.0
MLA5725,Accesorios para Vehículos,128877776,Buenos Aires,Florida,relevancia media-perfil medio,0.0046,0.0,0.0306,1585.1666666666667
MLA5725,Accesorios para Vehículos,320671610,Buenos Aires,Villa Adelina,relevancia media-perfil medio,0.01,0.0097,0.0027,1183.4063176895306
MLA5725,Accesorios para Vehículos,217904111,Capital Federal,Villa Crespo,relevancia media-perfil medio,0.001,0.0135,0.012,2224.271676300578
MLA5725,Accesorios para Vehículos,216792577,Buenos Aires,Escobar,relevancia alta-perfil medio,0.006,0.0067,0.0061,9959.0
MLA5725,Accesorios para Vehículos,156142703,Buenos Aires,Lanús,relevancia alta-perfil medio,0.0003,0.0072,0.027,9815.612819706495
MLA5725,Accesorios para Vehículos,209183697,Buenos Aires,Martínez,relevancia alta-perfil medio,0.0031,0.0094,0.0163,12751.413793103447
MLA5725,Accesorios para Vehículos,177555884,Buenos Aires,Morón,relevancia alta-perfil medio,0.012,0.0193,0.0142,11937.284390591589
MLA5725,Accesorios para Vehículos,150536220,Buenos Aires,Victoria,relevancia media-perfil alto,0.0,0.0115,0.0,2603.809523809524
MLA5725,Accesorios para Vehículos,16728778,Buenos Aires,Martinez,relevancia media-perfil medio,0.0,0.0029,0.0119,1385.020588235294
MLA5725,Accesorios para Vehículos,290403581,Capital Federal,Palermo,relevancia alta-perfil medio,0.0027,0.0041,0.041,4760.235619834711
MLA5725,Accesorios para Vehículos,268726276,Capital Federal,Ciudad Autonoma de Buenos Aires,relevancia alta-perfil alto,0.0,0.0,0.0894,8899.0
MLA5725,Accesorios para Vehículos,230369815,Capital Federal,Villa del Parque,relevancia alta-perfil medio,0.0105,0.0126,0.0289,18144.115384615383
MLA5725,Accesorios para Vehículos,258578942,Capital Federal,ciudad autónoma buenos aires,relevancia alta-perfil medio,0.0011,0.0039,0.0106,6713.228947368421
MLA5725,Accesorios para Vehículos,89575112,Capital Federal,Villa Devoto,relevancia media-perfil medio,0.0076,0.0183,0.0579,1869.5231703034865
MLA5725,Accesorios para Vehículos,29865097,Capital Federal,Villa Devoto,relevancia alta-perfil medio,0.013,0.0106,0.0365,15949.0
MLA5725,Accesorios para Vehículos,457504142,Santa Fe,Firmat,relevancia alta-perfil medio,0.0098,0.0082,0.0502,9543.816071428571
MLA5725,Accesorios para Vehículos,712162233,Buenos Aires,Martínez,relevancia alta-perfil alto,0.0,0.0,0.0171,8854.411764705883
