,categoria_MLA,categoria_name
0,MLA5725,Accesorios para Vehículos
1,MLA1512,Agro
2,MLA1403,Alimentos y Bebidas
3,MLA1071,Animales y Mascotas
4,MLA1367,Antigüedades y Colecciones
5,MLA1368,"Arte, Librería y Mercería"
6,MLA1384,Bebés
7,MLA1246,Belleza y Cuidado Personal
8,MLA1039,Cámaras y Accesorios
9,MLA1051,Celulares y Teléfonos
10,MLA1648,Computación
11,MLA1144,Consolas y Videojuegos
12,MLA1500,Construcción
13,MLA1276,Deportes y Fitness
14,MLA5726,Electrodomésticos y Aires Ac.
15,MLA1000,"Electrónica, Audio y Video"
16,MLA407134,Herramientas
17,MLA1574,"Hogar, Muebles y Jardín"
18,MLA1499,Industrias y Oficinas
19,MLA1182,Instrumentos Musicales
20,MLA3937,Joyas y Relojes
21,MLA1132,Juegos y Juguetes
22,MLA3025,"Libros, Revistas y Comics"
23,MLA1168,"Música, Películas y Series"
24,MLA1430,Ropa y Accesorios
25,MLA409431,Salud y Equipamiento Médico
26,MLA9304,"Souvenirs, Cotillón y Fiestas"
